v1	d(Id(M1))/Id(M1)
Step Information: L=16n  (Run: 1/5)
3.110000000000002e-001	1.116943e+001
3.120000000000002e-001	1.110910e+001
3.130000000000002e-001	1.104895e+001
3.140000000000002e-001	1.098900e+001
3.150000000000002e-001	1.092931e+001
3.160000000000002e-001	1.086978e+001
3.170000000000002e-001	1.081047e+001
3.180000000000002e-001	1.075145e+001
3.190000000000002e-001	1.069266e+001
3.200000000000002e-001	1.063401e+001
3.210000000000002e-001	1.057566e+001
3.220000000000002e-001	1.051757e+001
3.230000000000002e-001	1.045964e+001
3.240000000000002e-001	1.040198e+001
3.250000000000002e-001	1.034465e+001
3.260000000000002e-001	1.028749e+001
3.270000000000002e-001	1.023057e+001
3.280000000000002e-001	1.017393e+001
3.290000000000002e-001	1.011755e+001
3.300000000000002e-001	1.006141e+001
3.310000000000002e-001	1.000552e+001
3.320000000000002e-001	9.949896e+000
3.330000000000002e-001	9.894530e+000
3.340000000000002e-001	9.839473e+000
3.350000000000002e-001	9.784638e+000
3.360000000000002e-001	9.730074e+000
3.370000000000002e-001	9.675783e+000
3.380000000000002e-001	9.621769e+000
3.390000000000003e-001	9.568031e+000
3.400000000000003e-001	9.514573e+000
3.410000000000003e-001	9.461395e+000
3.420000000000003e-001	9.408460e+000
3.430000000000003e-001	9.355809e+000
3.440000000000003e-001	9.303444e+000
3.450000000000003e-001	9.251366e+000
3.460000000000003e-001	9.199535e+000
3.470000000000003e-001	9.148034e+000
3.480000000000003e-001	9.096781e+000
3.490000000000003e-001	9.045818e+000
3.500000000000003e-001	8.995184e+000
3.510000000000003e-001	8.944800e+000
3.520000000000003e-001	8.894668e+000
3.530000000000003e-001	8.844826e+000
3.540000000000003e-001	8.795349e+000
3.550000000000003e-001	8.746085e+000
3.560000000000003e-001	8.697111e+000
3.570000000000003e-001	8.648460e+000
3.580000000000003e-001	8.600060e+000
3.590000000000003e-001	8.551982e+000
3.600000000000003e-001	8.504154e+000
3.610000000000003e-001	8.456645e+000
3.620000000000003e-001	8.409419e+000
3.630000000000003e-001	8.362440e+000
3.640000000000003e-001	8.315810e+000
3.650000000000003e-001	8.269425e+000
